90,134,184,139,male,22,0
95,141,185,141,female,13,0
96,143,184,144,female,11,0
106,159,181,148,female,51,0
97,140,197,164,male,26,0
90,138,195,160,male,55,0
154,89,183,148,male,22,2
129,84,186,151,male,22,0
138,68,195,162,male,22,2
137,67,203,173,male,21,2
134,66,212,180,male,22,2
128,68,211,184,male,21,0
112,65,209,190,male,22,0
108,68,208,192,male,22,0
131,65,221,208,male,22,1
105,61,223,203,male,22,0
111,65,216,205,male,22,0
101,63,229,207,male,22,0
112,65,209,190,male,22,0
108,68,208,192,male,22,0
131,65,221,208,male,57,1
105,61,223,203,male,22,0
111,65,216,205,female,21,0
101,63,229,207,male,22,1
94,65,218,203,female,22,0
93,66,209,199,female,22,0
93,67,202,199,female,22,0
81,62,201,205,male,22,1
70,55,176,192,female,21,0
66,71,177,192,male,21,1
56,67,170,187,male,21,1
64,70,154,173,female,22,0
73,66,97,63,female,22,0
72,64,111,77,female,22,0
78,61,155,123,female,21,0
74,64,164,130,female,22,0
79,70,165,137,female,22,0
66,67,135,126,female,21,0
72,69,128,121,male,22,0
99,70,138,130,male,54,1
88,70,163,138,male,23,2
94,70,178,150,male,22,2
99,68,199,171,male,21,2
89,67,203,175,male,22,1
104,71,204,179,male,22,2
110,74,222,194,male,23,2
80,66,224,197,female,22,0
76,62,213,190,male,22,1
78,66,193,183,male,22,2
60,65,201,187,male,23,2
96,76,199,189,female,21,0
75,67,208,191,male,22,0
62,66,217,190,female,22,0
55,64,223,190,male,22,1
80,92,145,148, male,25,0
78,133,157,105, male,21,1
149,104,185,136, female,39,0
150,137,104,147, male,40,2
117,124,171,161, male,32,2
72,186,107,98, male,20,1
193,220,105,157, female,27,0
156,176,102,168, female,39,0
114,107,187,93, female,25,0
83,95,162,107, female,33,0
91,192,150,86, male,20,1
190,170,110,167, male,29,2
100,88,110,107, female,38,0
80,70,92,103, female,39,0
94,92,172,152, male,40,1
134,178,191,125, male,31,2
93,111,112,137, female,25,0
109,128,150,132, male,36,2
94,120,88,102, female,31,0
78,90,75,91, female,24,0
73,71,136,97, female,25,0
88,90,122,109, female,37,0
115,168,115,111, male,38,1
191,154,143,102, female,29,0
75,183,131,87, male,30,1
159,190,182,90, female,29,0
200,210,139,121, male,35,2
174,179,113,91, male,25,2
143,142,191,158, male,39,2
90,124,141,103, female,39,0
77,84,110,121, female,34,0
74,98,107,166, female,28,0
98,210,174,95, male,39,1
84,196,152,151, male,34,2
175,167,125,81, female,24,0
140,118,197,113, female,28,0
153,93,181,134, male,34,2
108,109,135,112, female,35,0
145,151,131,82, male,22,2
120,154,120,127, female,24,0
139,151,122,153, male,24,2
116,157,168,116, male,28,2
132,211,132,126, male,32,1
110,118,159,99, female,32,0
167,94,100,114, female,39,0
142,169,103,121, female,25,0
80,172,182,81, female,30,0
149,193,164,86, male,36,1
105,143,115,123, female,31,0
100,186,100,112, male,32,2
81,166,175,81, female,21,0
94,111,168,117, female,32,0
109,106,110,128, female,31,0
123,118,135,105, female,28,0
126,143,194,132, male,29,1
83,140,184,103, male,27,2
85,123,136,109, male,37,1
100,103,157,150, male,29,0
194,149,106,158, male,25,2
165,219,145,106, male,40,1
70,210,114,149, male,31,2
105,124,97,136, female,26,0
152,137,74,109, male,36,0
131,119,75,165, female,34,0
136,177,176,144, male,31,2
117,120,175,163, female,27,0
70,104,175,108, male,27,0
129,90,184,106, female,21,0
76,134,103,118, male,20,2
111,156,126,120, male,33,2
171,106,162,108, male,31,2
75,130,160,151, male,40,1
73,134,156,119, female,37,0
154,100,137,162, male,35,1
133,189,177,162, male,34,2
131,184,145,82, female,30,0
191,98,131,155, male,35,2
77,203,121,142, male,30,2
153,175,120,108, male,31,1
80,77,109,116, male,34,0
154,103,184,133, male,22,2
160,101,167,134, male,22,0
90,188,192,124, male,23,1
196,212,146,145, male,37,2
153,124,115,103, male,40,2
125,150,176,146, female,33,0
